titre,nbvotespresse,nbvotespublic,notepresse,notepublic
Snowpiercer- Le Transperceneige,30.0,11211.0,4.1,3.4
Triple 9,23.0,2901.0,3.7,3.3
Star Wars : Episode I - La Menace fantôme,29.0,39864.0,3.1,3.9
Divergente 3 : au-delà du mur,17.0,5824.0,2.9,2.9
Jurassic World,30.0,19218.0,2.9,3.6
Le Silence des agneaux,5.0,46922.0,4.8,4.4
American Nightmare,18.0,6875.0,2.5,2.6
Cloverfield,24.0,22233.0,3.6,3.3
The Voices,34.0,4776.0,3.4,3.4
Chappie,17.0,7571.0,3.3,3.7
Gatsby le Magnifique,17.0,16156.0,2.8,4.0
The Tree of Life,23.0,9005.0,3.5,2.6
Un jour,10.0,3466.0,3.0,4.0
Certaines Femmes,21.0,322.0,4.1,2.9
Gran Torino,28.0,52551.0,4.7,4.5
Mustang,22.0,4445.0,4.0,4.3
Agents très spéciaux - Code U.N.C.L.E,25.0,4962.0,3.3,4.0
007 Spectre,34.0,14181.0,3.0,3.5
La Famille Bélier,30.0,15889.0,3.7,4.1
Shining,5.0,35834.0,4.0,4.3
Avant d'aller dormir,20.0,1932.0,2.3,3.3
Bad Moms,15.0,1735.0,3.0,3.1
Full Metal Jacket,5.0,31832.0,4.8,4.3
Les Tuche,6.0,6372.0,2.3,2.6
It Follows,29.0,3864.0,4.4,3.4
Les Invisibles,16.0,607.0,4.1,3.9
The Place Beyond the Pines,28.0,11908.0,3.6,4.0
Un prof pas comme les autres,8.0,548.0,2.4,3.8
Batman Begins,24.0,44847.0,3.7,4.1
Le Fabuleux destin d'Amélie Poulain,23.0,40306.0,4.3,3.8
Les derniers jours d'une ville,11.0,9.0,3.6,3.1
Lucia et le sexe,18.0,239.0,3.3,3.5
Sex and the City - le film,18.0,6395.0,2.8,2.7
Will Hunting,5.0,133995.0,3.2,3.5
Je te promets - The Vow,9.0,4696.0,2.0,3.9
Money Monster,22.0,4554.0,3.5,3.7
Battleship,23.0,9454.0,2.3,2.8
Je suis une légende,20.0,43862.0,3.1,3.8
Scott Pilgrim,17.0,5327.0,3.4,3.8
Watchmen - Les Gardiens,19.0,20918.0,3.7,3.8
12 hommes en colère,7.0,9013.0,5.0,4.5
La Planète des singes,1.0,10585.0,4.0,3.8
Les Nouveaux sauvages,24.0,5429.0,3.5,4.1
